brewery_name,beer_name,beer_images,beer_url,beer_ABV,beer_IBU,beer_Description,beer_rating,typo_error 
Stieglbrauerei zu Salzburg,Stiegl Sport-Weisse Alkoholfrei,Stiegl_Sport-Weisse_Alkoholfrei_image1.jpg,https://untappd.com/b/stieglbrauerei-zu-salzburg-stiegl-sport-weisse-alkoholfrei/327454,N/A ABV,14 IBU,"This nonalcoholic isotonic thirst quencher comes across as refreshingly effervescent and rich in aroma. An unfiltered beverage, it boasts malty aromas and hints of fruit well-balanced by a fine acidity. An athletic achievement of superior brewing craftsmanship.",2.69,
Stieglbrauerei zu Salzburg,Stiegl Sport-Weisse Alkoholfrei,Stiegl_Sport-Weisse_Alkoholfrei_image2.jpg,https://untappd.com/b/stieglbrauerei-zu-salzburg-stiegl-sport-weisse-alkoholfrei/327454,N/A ABV,14 IBU,"This nonalcoholic isotonic thirst quencher comes across as refreshingly effervescent and rich in aroma. An unfiltered beverage, it boasts malty aromas and hints of fruit well-balanced by a fine acidity. An athletic achievement of superior brewing craftsmanship.",2.69,
Stieglbrauerei zu Salzburg,Stiegl Sport-Weisse Alkoholfrei,Stiegl_Sport-Weisse_Alkoholfrei_image3.jpg,https://untappd.com/b/stieglbrauerei-zu-salzburg-stiegl-sport-weisse-alkoholfrei/327454,N/A ABV,14 IBU,"This nonalcoholic isotonic thirst quencher comes across as refreshingly effervescent and rich in aroma. An unfiltered beverage, it boasts malty aromas and hints of fruit well-balanced by a fine acidity. An athletic achievement of superior brewing craftsmanship.",2.69,
Stieglbrauerei zu Salzburg,Herbst-Gold,Herbst-Gold_image1.jpg,https://untappd.com/b/stieglbrauerei-zu-salzburg-herbst-gold/82274,5.2% ABV,21 IBU,The beer with the colors of fall. This seasonal specialty beer charms with finely balanced hoppy bitterness and distinct malty notes. Its tangy and full-bodied taste is the perfect match for autumnal specialties and events such as farmers' markets and Thanksgiving celebrations.,3.44,
Stieglbrauerei zu Salzburg,Herbst-Gold,Herbst-Gold_image2.jpg,https://untappd.com/b/stieglbrauerei-zu-salzburg-herbst-gold/82274,5.2% ABV,21 IBU,The beer with the colors of fall. This seasonal specialty beer charms with finely balanced hoppy bitterness and distinct malty notes. Its tangy and full-bodied taste is the perfect match for autumnal specialties and events such as farmers' markets and Thanksgiving celebrations.,3.44,
Stieglbrauerei zu Salzburg,Herbst-Gold,Herbst-Gold_image3.jpg,https://untappd.com/b/stieglbrauerei-zu-salzburg-herbst-gold/82274,5.2% ABV,21 IBU,The beer with the colors of fall. This seasonal specialty beer charms with finely balanced hoppy bitterness and distinct malty notes. Its tangy and full-bodied taste is the perfect match for autumnal specialties and events such as farmers' markets and Thanksgiving celebrations.,3.44,
Stieglbrauerei zu Salzburg,Original Stieglbock,Original_Stieglbock_image1.jpg,https://untappd.com/b/stieglbrauerei-zu-salzburg-original-stieglbock/73166,7% ABV,25 IBU,"A powerful original from Stiegl, rich in content and multi-faceted. Velvety on the palate, full-bodied with a warming, long-lasting finish. Months of cold maturation make this specialty beer a truly authentic pleasure. ",3.31,
Stieglbrauerei zu Salzburg,Original Stieglbock,Original_Stieglbock_image2.jpg,https://untappd.com/b/stieglbrauerei-zu-salzburg-original-stieglbock/73166,7% ABV,25 IBU,"A powerful original from Stiegl, rich in content and multi-faceted. Velvety on the palate, full-bodied with a warming, long-lasting finish. Months of cold maturation make this specialty beer a truly authentic pleasure. ",3.31,
Stieglbrauerei zu Salzburg,Original Stieglbock,Original_Stieglbock_image3.jpg,https://untappd.com/b/stieglbrauerei-zu-salzburg-original-stieglbock/73166,7% ABV,25 IBU,"A powerful original from Stiegl, rich in content and multi-faceted. Velvety on the palate, full-bodied with a warming, long-lasting finish. Months of cold maturation make this specialty beer a truly authentic pleasure. ",3.31,
Stieglbrauerei zu Salzburg,Stiegl Hausbier: Gipfelstürmer,Stiegl_Hausbier_Gipfelstrmer_image1.jpg,https://untappd.com/b/stieglbrauerei-zu-salzburg-stiegl-hausbier-gipfelsturmer/770155,5.2% ABV,15 IBU,"A bright, light orange and a creme-coloured foam head awaken the appetite for the first sip. The aroma rising from the glass is irresistible fruity. A bitter-smooth hoppy taste blends with a well-balanced malt body, the elegant carbonic acid is lively on the palate. The finish – a delicate hoppy affair.",3.7,
Stieglbrauerei zu Salzburg,Stiegl Hausbier: Gipfelstürmer,Stiegl_Hausbier_Gipfelstrmer_image2.jpg,https://untappd.com/b/stieglbrauerei-zu-salzburg-stiegl-hausbier-gipfelsturmer/770155,5.2% ABV,15 IBU,"A bright, light orange and a creme-coloured foam head awaken the appetite for the first sip. The aroma rising from the glass is irresistible fruity. A bitter-smooth hoppy taste blends with a well-balanced malt body, the elegant carbonic acid is lively on the palate. The finish – a delicate hoppy affair.",3.7,
Stieglbrauerei zu Salzburg,Stiegl Hausbier: Gipfelstürmer,Stiegl_Hausbier_Gipfelstrmer_image3.jpg,https://untappd.com/b/stieglbrauerei-zu-salzburg-stiegl-hausbier-gipfelsturmer/770155,5.2% ABV,15 IBU,"A bright, light orange and a creme-coloured foam head awaken the appetite for the first sip. The aroma rising from the glass is irresistible fruity. A bitter-smooth hoppy taste blends with a well-balanced malt body, the elegant carbonic acid is lively on the palate. The finish – a delicate hoppy affair.",3.7,
Stieglbrauerei zu Salzburg,Paracelsus Bio-Zwickl,Paracelsus_Bio-Zwickl_image1.jpg,https://untappd.com/b/stieglbrauerei-zu-salzburg-paracelsus-bio-zwickl/5542,5.2% ABV,17 IBU,"Only Austrian ingredients from controlled biological cultivation are used in this amber-colored, natural and traditional beer specialty from Salzburg. When brewing this beer we add Laufener Landweizen to the blend – a fine ancient grain we grow on healthy land and malt ourselves at the Stiegl-Farm Wildshut. This completes the velvelty mild taste – an absolute delight.",3.51,
Stieglbrauerei zu Salzburg,Paracelsus Bio-Zwickl,Paracelsus_Bio-Zwickl_image2.jpg,https://untappd.com/b/stieglbrauerei-zu-salzburg-paracelsus-bio-zwickl/5542,5.2% ABV,17 IBU,"Only Austrian ingredients from controlled biological cultivation are used in this amber-colored, natural and traditional beer specialty from Salzburg. When brewing this beer we add Laufener Landweizen to the blend – a fine ancient grain we grow on healthy land and malt ourselves at the Stiegl-Farm Wildshut. This completes the velvelty mild taste – an absolute delight.",3.51,
Stieglbrauerei zu Salzburg,Paracelsus Bio-Zwickl,Paracelsus_Bio-Zwickl_image3.jpg,https://untappd.com/b/stieglbrauerei-zu-salzburg-paracelsus-bio-zwickl/5542,5.2% ABV,17 IBU,"Only Austrian ingredients from controlled biological cultivation are used in this amber-colored, natural and traditional beer specialty from Salzburg. When brewing this beer we add Laufener Landweizen to the blend – a fine ancient grain we grow on healthy land and malt ourselves at the Stiegl-Farm Wildshut. This completes the velvelty mild taste – an absolute delight.",3.51,
Stieglbrauerei zu Salzburg,Columbus 1492 Pale Ale,Columbus_1492_Pale_Ale_image1.jpg,https://untappd.com/b/stieglbrauerei-zu-salzburg-columbus-1492-pale-ale/1624510,4.7% ABV,25 IBU,A refreshing discovery for beer experts. This top-fermented specialty beer charms with its pale color and delicate cloudiness. The elegant body and fruity-hoppy flavor ensure you anticipate every subsequent sip. Stiegl-Columbus 1492 combines freshness and hoppy-fruity intensity.,3.47,
Stieglbrauerei zu Salzburg,Columbus 1492 Pale Ale,Columbus_1492_Pale_Ale_image2.jpg,https://untappd.com/b/stieglbrauerei-zu-salzburg-columbus-1492-pale-ale/1624510,4.7% ABV,25 IBU,A refreshing discovery for beer experts. This top-fermented specialty beer charms with its pale color and delicate cloudiness. The elegant body and fruity-hoppy flavor ensure you anticipate every subsequent sip. Stiegl-Columbus 1492 combines freshness and hoppy-fruity intensity.,3.47,
Stieglbrauerei zu Salzburg,Columbus 1492 Pale Ale,Columbus_1492_Pale_Ale_image3.jpg,https://untappd.com/b/stieglbrauerei-zu-salzburg-columbus-1492-pale-ale/1624510,4.7% ABV,25 IBU,A refreshing discovery for beer experts. This top-fermented specialty beer charms with its pale color and delicate cloudiness. The elegant body and fruity-hoppy flavor ensure you anticipate every subsequent sip. Stiegl-Columbus 1492 combines freshness and hoppy-fruity intensity.,3.47,
Stieglbrauerei zu Salzburg,Stiegl-Weisse Naturtrüb,Stiegl-Weisse_Naturtrb_image1.jpg,https://untappd.com/b/stieglbrauerei-zu-salzburg-stiegl-weisse-naturtrub/80,5.1% ABV,14 IBU,"Carefully selected Austrian ingredients and a gentle maturation process are the secret to the mild, quaffable taste. Its glowing amber color and fruity-aromatic taste of yeast coupled with effervescence will delight the wheat beer enthusiast.",3.45,
Stieglbrauerei zu Salzburg,Stiegl-Weisse Naturtrüb,Stiegl-Weisse_Naturtrb_image2.jpg,https://untappd.com/b/stieglbrauerei-zu-salzburg-stiegl-weisse-naturtrub/80,5.1% ABV,14 IBU,"Carefully selected Austrian ingredients and a gentle maturation process are the secret to the mild, quaffable taste. Its glowing amber color and fruity-aromatic taste of yeast coupled with effervescence will delight the wheat beer enthusiast.",3.45,
Stieglbrauerei zu Salzburg,Stiegl-Weisse Naturtrüb,Stiegl-Weisse_Naturtrb_image3.jpg,https://untappd.com/b/stieglbrauerei-zu-salzburg-stiegl-weisse-naturtrub/80,5.1% ABV,14 IBU,"Carefully selected Austrian ingredients and a gentle maturation process are the secret to the mild, quaffable taste. Its glowing amber color and fruity-aromatic taste of yeast coupled with effervescence will delight the wheat beer enthusiast.",3.45,
Stieglbrauerei zu Salzburg,Stiegl Pils,Stiegl_Pils_image1.jpg,https://untappd.com/b/stieglbrauerei-zu-salzburg-stiegl-pils/21296,4.9% ABV,30 IBU,"The elegant beer for connoisseurs who love a light, hoppy bitterness and a refined dry taste. Finest Saphir hops provide the typical lemony aroma and gently kiln-dried malt gives the beer its light color. Lean and vibrant - a first-class Pilsner beer.",3.27,
Stieglbrauerei zu Salzburg,Stiegl Pils,Stiegl_Pils_image2.jpg,https://untappd.com/b/stieglbrauerei-zu-salzburg-stiegl-pils/21296,4.9% ABV,30 IBU,"The elegant beer for connoisseurs who love a light, hoppy bitterness and a refined dry taste. Finest Saphir hops provide the typical lemony aroma and gently kiln-dried malt gives the beer its light color. Lean and vibrant - a first-class Pilsner beer.",3.27,
Stieglbrauerei zu Salzburg,Stiegl Pils,Stiegl_Pils_image3.jpg,https://untappd.com/b/stieglbrauerei-zu-salzburg-stiegl-pils/21296,4.9% ABV,30 IBU,"The elegant beer for connoisseurs who love a light, hoppy bitterness and a refined dry taste. Finest Saphir hops provide the typical lemony aroma and gently kiln-dried malt gives the beer its light color. Lean and vibrant - a first-class Pilsner beer.",3.27,
Stieglbrauerei zu Salzburg,Stiegl-Radler Zitrone Naturtrüb,Stiegl-Radler_Zitrone_Naturtrb_image1.jpg,https://untappd.com/b/stieglbrauerei-zu-salzburg-stiegl-radler-zitrone-naturtrub/17999,2% ABV,8 IBU,NB: Sold with 2% and 2.5% ABV - please do not post an edit request asking to change it from one to the other.,3.55,
Stieglbrauerei zu Salzburg,Stiegl-Radler Zitrone Naturtrüb,Stiegl-Radler_Zitrone_Naturtrb_image2.jpg,https://untappd.com/b/stieglbrauerei-zu-salzburg-stiegl-radler-zitrone-naturtrub/17999,2% ABV,8 IBU,NB: Sold with 2% and 2.5% ABV - please do not post an edit request asking to change it from one to the other.,3.55,
Stieglbrauerei zu Salzburg,Stiegl-Radler Zitrone Naturtrüb,Stiegl-Radler_Zitrone_Naturtrb_image3.jpg,https://untappd.com/b/stieglbrauerei-zu-salzburg-stiegl-radler-zitrone-naturtrub/17999,2% ABV,8 IBU,NB: Sold with 2% and 2.5% ABV - please do not post an edit request asking to change it from one to the other.,3.55,
Stieglbrauerei zu Salzburg,Goldbräu / Stiegl Gold,Goldbru__Stiegl_Gold_image1.jpg,https://untappd.com/b/stieglbrauerei-zu-salzburg-goldbrau-stiegl-gold/5539,5% ABV,20 IBU,ABV changed from 4.9 to 5%.,3.31,
Stieglbrauerei zu Salzburg,Goldbräu / Stiegl Gold,Goldbru__Stiegl_Gold_image2.jpg,https://untappd.com/b/stieglbrauerei-zu-salzburg-goldbrau-stiegl-gold/5539,5% ABV,20 IBU,ABV changed from 4.9 to 5%.,3.31,
Stieglbrauerei zu Salzburg,Goldbräu / Stiegl Gold,Goldbru__Stiegl_Gold_image3.jpg,https://untappd.com/b/stieglbrauerei-zu-salzburg-goldbrau-stiegl-gold/5539,5% ABV,20 IBU,ABV changed from 4.9 to 5%.,3.31,
Stieglbrauerei zu Salzburg,Stiegl Radler Grapefruit Naturtrüb,Stiegl_Radler_Grapefruit_Naturtrb_image1.jpg,https://untappd.com/b/stieglbrauerei-zu-salzburg-stiegl-radler-grapefruit-naturtrub/51016,2% ABV,8 IBU,Sold with 2% and 2.5% ABV - please do not post an edit request asking to change it from one to the other.,3.79,
Stieglbrauerei zu Salzburg,Stiegl Radler Grapefruit Naturtrüb,Stiegl_Radler_Grapefruit_Naturtrb_image2.jpg,https://untappd.com/b/stieglbrauerei-zu-salzburg-stiegl-radler-grapefruit-naturtrub/51016,2% ABV,8 IBU,Sold with 2% and 2.5% ABV - please do not post an edit request asking to change it from one to the other.,3.79,
Stieglbrauerei zu Salzburg,Stiegl Radler Grapefruit Naturtrüb,Stiegl_Radler_Grapefruit_Naturtrb_image3.jpg,https://untappd.com/b/stieglbrauerei-zu-salzburg-stiegl-radler-grapefruit-naturtrub/51016,2% ABV,8 IBU,Sold with 2% and 2.5% ABV - please do not post an edit request asking to change it from one to the other.,3.79,
Brauerei Hofstetten,Barley Wine Sour,Barley_Wine_Sour_image1.jpg,https://untappd.com/b/brauerei-hofstetten-barley-wine-sour/296612,8.6% ABV,N/A IBU, ,3.88,
Brauerei Hofstetten,Barley Wine Sour,Barley_Wine_Sour_image2.jpg,https://untappd.com/b/brauerei-hofstetten-barley-wine-sour/296612,8.6% ABV,N/A IBU, ,3.88,
Brauerei Hofstetten,Barley Wine Sour,Barley_Wine_Sour_image3.jpg,https://untappd.com/b/brauerei-hofstetten-barley-wine-sour/296612,8.6% ABV,N/A IBU, ,3.88,
Brauerei Hofstetten,Champion Bitter Batch 9,Champion_Bitter_Batch_9_image1.jpg,https://untappd.com/b/brauerei-hofstetten-champion-bitter-batch-9/1534995,6.2% ABV,N/A IBU, ,3.59,
Brauerei Hofstetten,Champion Bitter Batch 9,Champion_Bitter_Batch_9_image2.jpg,https://untappd.com/b/brauerei-hofstetten-champion-bitter-batch-9/1534995,6.2% ABV,N/A IBU, ,3.59,
Brauerei Hofstetten,Champion Bitter Batch 9,Champion_Bitter_Batch_9_image3.jpg,https://untappd.com/b/brauerei-hofstetten-champion-bitter-batch-9/1534995,6.2% ABV,N/A IBU, ,3.59,
Brauerei Hofstetten,Märzen,Mrzen_image1.jpg,https://untappd.com/b/brauerei-hofstetten-marzen/381153,4.7% ABV,N/A IBU,"This flavorful golden Märzen has been intentionally brewed a bit lighter, making it a robust, malt-forward beer that still goes down easily. ",3.39,
Brauerei Hofstetten,Märzen,Mrzen_image2.jpg,https://untappd.com/b/brauerei-hofstetten-marzen/381153,4.7% ABV,N/A IBU,"This flavorful golden Märzen has been intentionally brewed a bit lighter, making it a robust, malt-forward beer that still goes down easily. ",3.39,
Brauerei Hofstetten,Märzen,Mrzen_image3.jpg,https://untappd.com/b/brauerei-hofstetten-marzen/381153,4.7% ABV,N/A IBU,"This flavorful golden Märzen has been intentionally brewed a bit lighter, making it a robust, malt-forward beer that still goes down easily. ",3.39,
Brauerei Hofstetten,Bio Kürbisbier,Bio_Krbisbier_image1.jpg,https://untappd.com/b/brauerei-hofstetten-bio-kurbisbier/476065,5% ABV,N/A IBU,Organic pumpkin,3.17,
Brauerei Hofstetten,Bio Kürbisbier,Bio_Krbisbier_image2.jpg,https://untappd.com/b/brauerei-hofstetten-bio-kurbisbier/476065,5% ABV,N/A IBU,Organic pumpkin,3.17,
Brauerei Hofstetten,Bio Kürbisbier,Bio_Krbisbier_image3.jpg,https://untappd.com/b/brauerei-hofstetten-bio-kurbisbier/476065,5% ABV,N/A IBU,Organic pumpkin,3.17,
Brauerei Hofstetten,Hofstettner Pilsbier,Hofstettner_Pilsbier_image1.jpg,https://untappd.com/b/brauerei-hofstetten-hofstettner-pilsbier/22965,5.2% ABV,N/A IBU,"Full-cone Magnum, Aurora, and Spalter Select hops from",3.58,
Brauerei Hofstetten,Hofstettner Pilsbier,Hofstettner_Pilsbier_image2.jpg,https://untappd.com/b/brauerei-hofstetten-hofstettner-pilsbier/22965,5.2% ABV,N/A IBU,"Full-cone Magnum, Aurora, and Spalter Select hops from",3.58,
Brauerei Hofstetten,Hofstettner Pilsbier,Hofstettner_Pilsbier_image3.jpg,https://untappd.com/b/brauerei-hofstetten-hofstettner-pilsbier/22965,5.2% ABV,N/A IBU,"Full-cone Magnum, Aurora, and Spalter Select hops from",3.58,
Brauerei Hofstetten,"""Jackies"" Pale Ale",Jackies_Pale_Ale_image1.jpg,https://untappd.com/b/brauerei-hofstetten-jackies-pale-ale/2118249,5.5% ABV,N/A IBU, ,3.54,
Brauerei Hofstetten,"""Jackies"" Pale Ale",Jackies_Pale_Ale_image2.jpg,https://untappd.com/b/brauerei-hofstetten-jackies-pale-ale/2118249,5.5% ABV,N/A IBU, ,3.54,
Brauerei Hofstetten,"""Jackies"" Pale Ale",Jackies_Pale_Ale_image3.jpg,https://untappd.com/b/brauerei-hofstetten-jackies-pale-ale/2118249,5.5% ABV,N/A IBU, ,3.54,
Brauerei Hofstetten,Sündenbock,Sndenbock_image1.jpg,https://untappd.com/b/brauerei-hofstetten-sundenbock/278417,7.2% ABV,N/A IBU,This extremely limited special edition bock beer has been brewed with golden oats and local honey from the Hochland beekeepers. The result is a collabrew from the area’s most creative brewing experts. ,3.22,
Brauerei Hofstetten,Sündenbock,Sndenbock_image2.jpg,https://untappd.com/b/brauerei-hofstetten-sundenbock/278417,7.2% ABV,N/A IBU,This extremely limited special edition bock beer has been brewed with golden oats and local honey from the Hochland beekeepers. The result is a collabrew from the area’s most creative brewing experts. ,3.22,
Brauerei Hofstetten,Sündenbock,Sndenbock_image3.jpg,https://untappd.com/b/brauerei-hofstetten-sundenbock/278417,7.2% ABV,N/A IBU,This extremely limited special edition bock beer has been brewed with golden oats and local honey from the Hochland beekeepers. The result is a collabrew from the area’s most creative brewing experts. ,3.22,
Brauerei Hofstetten,Hofstettner Heller Bock Saphir Sour Blend (Zymatore),Hofstettner_Heller_Bock_Saphir_Sour_Blend_(Zymatore)_image1.jpg,https://untappd.com/b/brauerei-hofstetten-hofstettner-heller-bock-saphir-sour-blend-zymatore/489800,7.4% ABV,N/A IBU,"Barrel Aged (Gin, Pinot Noir, Grappa) ",3.95,
Brauerei Hofstetten,Hofstettner Heller Bock Saphir Sour Blend (Zymatore),Hofstettner_Heller_Bock_Saphir_Sour_Blend_(Zymatore)_image2.jpg,https://untappd.com/b/brauerei-hofstetten-hofstettner-heller-bock-saphir-sour-blend-zymatore/489800,7.4% ABV,N/A IBU,"Barrel Aged (Gin, Pinot Noir, Grappa) ",3.95,
Brauerei Hofstetten,Hofstettner Heller Bock Saphir Sour Blend (Zymatore),Hofstettner_Heller_Bock_Saphir_Sour_Blend_(Zymatore)_image3.jpg,https://untappd.com/b/brauerei-hofstetten-hofstettner-heller-bock-saphir-sour-blend-zymatore/489800,7.4% ABV,N/A IBU,"Barrel Aged (Gin, Pinot Noir, Grappa) ",3.95,
Brauerei Hofstetten,Hop In The Name Of Love,Hop_In_The_Name_Of_Love_image1.jpg,https://untappd.com/b/brauerei-hofstetten-hop-in-the-name-of-love/2034558,5.5% ABV,N/A IBU,Hop (in the name of) Love,3.6,
Brauerei Hofstetten,Hop In The Name Of Love,Hop_In_The_Name_Of_Love_image2.jpg,https://untappd.com/b/brauerei-hofstetten-hop-in-the-name-of-love/2034558,5.5% ABV,N/A IBU,Hop (in the name of) Love,3.6,
Brauerei Hofstetten,Hop In The Name Of Love,Hop_In_The_Name_Of_Love_image3.jpg,https://untappd.com/b/brauerei-hofstetten-hop-in-the-name-of-love/2034558,5.5% ABV,N/A IBU,Hop (in the name of) Love,3.6,
Brauerei Hofstetten,Hofstettner Heller Bock Ariana,Hofstettner_Heller_Bock_Ariana_image1.jpg,https://untappd.com/b/brauerei-hofstetten-hofstettner-heller-bock-ariana/2061070,7.4% ABV,N/A IBU,"Hopped w/Magnum, Aurora & Spalt Select; Dry-Hopped exclusively w/ whole-cone Ariana. ",3.58,
Brauerei Hofstetten,Hofstettner Heller Bock Ariana,Hofstettner_Heller_Bock_Ariana_image2.jpg,https://untappd.com/b/brauerei-hofstetten-hofstettner-heller-bock-ariana/2061070,7.4% ABV,N/A IBU,"Hopped w/Magnum, Aurora & Spalt Select; Dry-Hopped exclusively w/ whole-cone Ariana. ",3.58,
Brauerei Hofstetten,Hofstettner Heller Bock Ariana,Hofstettner_Heller_Bock_Ariana_image3.jpg,https://untappd.com/b/brauerei-hofstetten-hofstettner-heller-bock-ariana/2061070,7.4% ABV,N/A IBU,"Hopped w/Magnum, Aurora & Spalt Select; Dry-Hopped exclusively w/ whole-cone Ariana. ",3.58,
Brauerei Hofstetten,Barleywine Ale,Barleywine_Ale_image1.jpg,https://untappd.com/b/brauerei-hofstetten-barleywine-ale/46852,8.3% ABV,N/A IBU, ,3.5,
Brauerei Hofstetten,Barleywine Ale,Barleywine_Ale_image2.jpg,https://untappd.com/b/brauerei-hofstetten-barleywine-ale/46852,8.3% ABV,N/A IBU, ,3.5,
Brauerei Hofstetten,Barleywine Ale,Barleywine_Ale_image3.jpg,https://untappd.com/b/brauerei-hofstetten-barleywine-ale/46852,8.3% ABV,N/A IBU, ,3.5,
Brauerei Hofstetten,Mühlviertler,Mhlviertler_image1.jpg,https://untappd.com/b/brauerei-hofstetten-muhlviertler/727058,5.1% ABV,N/A IBU,Power.full.pure,3.54,
Brauerei Hofstetten,Mühlviertler,Mhlviertler_image2.jpg,https://untappd.com/b/brauerei-hofstetten-muhlviertler/727058,5.1% ABV,N/A IBU,Power.full.pure,3.54,
Brauerei Hofstetten,Mühlviertler,Mhlviertler_image3.jpg,https://untappd.com/b/brauerei-hofstetten-muhlviertler/727058,5.1% ABV,N/A IBU,Power.full.pure,3.54,
Brauerei Hofstetten,Hochland Honigbier,Hochland_Honigbier_image1.jpg,https://untappd.com/b/brauerei-hofstetten-hochland-honigbier/764212,6.2% ABV,N/A IBU,A beer made with honey from the local Hochland beekeeper.,3.38,
Brauerei Hofstetten,Hochland Honigbier,Hochland_Honigbier_image2.jpg,https://untappd.com/b/brauerei-hofstetten-hochland-honigbier/764212,6.2% ABV,N/A IBU,A beer made with honey from the local Hochland beekeeper.,3.38,
Brauerei Hofstetten,Hochland Honigbier,Hochland_Honigbier_image3.jpg,https://untappd.com/b/brauerei-hofstetten-hochland-honigbier/764212,6.2% ABV,N/A IBU,A beer made with honey from the local Hochland beekeeper.,3.38,
Brauerei Hofstetten,Aurora,Aurora_image1.jpg,https://untappd.com/b/brauerei-hofstetten-aurora/107245,4.8% ABV,N/A IBU, ,3.51,
Brauerei Hofstetten,Aurora,Aurora_image2.jpg,https://untappd.com/b/brauerei-hofstetten-aurora/107245,4.8% ABV,N/A IBU, ,3.51,
Brauerei Hofstetten,Aurora,Aurora_image3.jpg,https://untappd.com/b/brauerei-hofstetten-aurora/107245,4.8% ABV,N/A IBU, ,3.51,
Brauerei Hofstetten,G'froren's - Iced IPA,Gfrorens_-_Iced_IPA_image1.jpg,https://untappd.com/b/brauerei-hofstetten-g-froren-s-iced-ipa/929390,10.5% ABV,N/A IBU,"After five weeks of lagering, this beer undergoes a freeze distillation process where the water is extracted. From there, the newly created ice bock is dry hopped, meaning it is combined with fresh hops in a lager tank and left for weeks to develop and absorb the wonderful hop aromas.",3.79,
Brauerei Hofstetten,G'froren's - Iced IPA,Gfrorens_-_Iced_IPA_image2.jpg,https://untappd.com/b/brauerei-hofstetten-g-froren-s-iced-ipa/929390,10.5% ABV,N/A IBU,"After five weeks of lagering, this beer undergoes a freeze distillation process where the water is extracted. From there, the newly created ice bock is dry hopped, meaning it is combined with fresh hops in a lager tank and left for weeks to develop and absorb the wonderful hop aromas.",3.79,
Brauerei Hofstetten,G'froren's - Iced IPA,Gfrorens_-_Iced_IPA_image3.jpg,https://untappd.com/b/brauerei-hofstetten-g-froren-s-iced-ipa/929390,10.5% ABV,N/A IBU,"After five weeks of lagering, this beer undergoes a freeze distillation process where the water is extracted. From there, the newly created ice bock is dry hopped, meaning it is combined with fresh hops in a lager tank and left for weeks to develop and absorb the wonderful hop aromas.",3.79,
Brauerei Hofstetten,Granit,Granit_image1.jpg,https://untappd.com/b/brauerei-hofstetten-granit/527422,5.5% ABV,N/A IBU,Premium amber lager,3.64,
Brauerei Hofstetten,Granit,Granit_image2.jpg,https://untappd.com/b/brauerei-hofstetten-granit/527422,5.5% ABV,N/A IBU,Premium amber lager,3.64,
Brauerei Hofstetten,Granit,Granit_image3.jpg,https://untappd.com/b/brauerei-hofstetten-granit/527422,5.5% ABV,N/A IBU,Premium amber lager,3.64,
Brauerei Hofstetten,Hofstettner Heller Bock Saphir,Hofstettner_Heller_Bock_Saphir_image1.jpg,https://untappd.com/b/brauerei-hofstetten-hofstettner-heller-bock-saphir/25775,7.4% ABV,N/A IBU,We dry-hopped this beer with full-cone saphire hops,3.61,
Brauerei Hofstetten,Hofstettner Heller Bock Saphir,Hofstettner_Heller_Bock_Saphir_image2.jpg,https://untappd.com/b/brauerei-hofstetten-hofstettner-heller-bock-saphir/25775,7.4% ABV,N/A IBU,We dry-hopped this beer with full-cone saphire hops,3.61,
Brauerei Hofstetten,Hofstettner Heller Bock Saphir,Hofstettner_Heller_Bock_Saphir_image3.jpg,https://untappd.com/b/brauerei-hofstetten-hofstettner-heller-bock-saphir/25775,7.4% ABV,N/A IBU,We dry-hopped this beer with full-cone saphire hops,3.61,
Brauerei Hofstetten,Hofstettner Kübelbier,Hofstettner_Kbelbier_image1.jpg,https://untappd.com/b/brauerei-hofstetten-hofstettner-kubelbier/17783,5.3% ABV,N/A IBU,"For centuries, brewers have maintained",3.46,
Brauerei Hofstetten,Hofstettner Kübelbier,Hofstettner_Kbelbier_image2.jpg,https://untappd.com/b/brauerei-hofstetten-hofstettner-kubelbier/17783,5.3% ABV,N/A IBU,"For centuries, brewers have maintained",3.46,
Brauerei Hofstetten,Hofstettner Kübelbier,Hofstettner_Kbelbier_image3.jpg,https://untappd.com/b/brauerei-hofstetten-hofstettner-kubelbier/17783,5.3% ABV,N/A IBU,"For centuries, brewers have maintained",3.46,
Brauerei Hofstetten,Original Hochzeitsbier von 1810,Original_Hochzeitsbier_von_1810_image1.jpg,https://untappd.com/b/brauerei-hofstetten-original-hochzeitsbier-von-1810/96634,6.3% ABV,N/A IBU,A beer made just as it would have been for the very first Oktoberfest in Munich in 1810. ,3.67,
Brauerei Hofstetten,Original Hochzeitsbier von 1810,Original_Hochzeitsbier_von_1810_image2.jpg,https://untappd.com/b/brauerei-hofstetten-original-hochzeitsbier-von-1810/96634,6.3% ABV,N/A IBU,A beer made just as it would have been for the very first Oktoberfest in Munich in 1810. ,3.67,
Brauerei Hofstetten,Original Hochzeitsbier von 1810,Original_Hochzeitsbier_von_1810_image3.jpg,https://untappd.com/b/brauerei-hofstetten-original-hochzeitsbier-von-1810/96634,6.3% ABV,N/A IBU,A beer made just as it would have been for the very first Oktoberfest in Munich in 1810. ,3.67,
Brauerei Hofstetten,Hofstettner Granitbock,Hofstettner_Granitbock_image1.jpg,https://untappd.com/b/brauerei-hofstetten-hofstettner-granitbock/22551,7.3% ABV,N/A IBU,"Brewed in granite troughs, heated to white hot this beer has a caramel and roasted flavor. Also, a unique smoke flavor. ",3.56,
